year,department,section,roll_no,name,result,maths_assign1,maths_assign2,maths_mid,maths_external,python_assign1,python_assign2,python_mid,python_external,dbms_assign1,dbms_assign2,dbms_mid,dbms_external
2,CSE,A,1001,Aarav,PASS,18,19,25,78,20,18,24,81,19,20,23,76
2,CSE,A,1002,Diya,FAIL,0,15,18,32,16,0,20,35,18,17,19,39
2,CSE,A,1003,Rahul,PASS,20,20,28,90,19,20,26,88,20,19,25,84
2,CSE,A,1004,Sneha,FAIL,10,0,15,25,12,14,18,30,10,12,15,28
2,CSE,A,1005,Kiran,PASS,17,18,22,65,18,17,23,70,16,18,21,68
2,CSE,A,1006,Meena,PASS,19,20,26,82,18,19,25,80,17,18,24,78
2,CSE,A,1007,Ravi,FAIL,0,0,10,22,12,10,14,25,11,9,13,20
2,CSE,A,1008,Pooja,PASS,18,19,24,79,19,18,23,77,18,19,22,75
2,CSE,A,1009,Arjun,FAIL,11,10,16,35,12,11,15,33,13,12,16,37
2,CSE,A,1010,Nisha,PASS,20,19,27,88,20,20,28,90,19,20,26,85
2,CSE,B,1011,Varun,PASS,18,18,23,72,17,18,22,74,18,17,21,70
2,CSE,B,1012,Anu,FAIL,0,5,11,27,9,8,12,29,10,9,13,31
2,CSE,B,1013,Sanjay,PASS,19,20,25,80,18,19,24,79,20,20,26,83
2,CSE,B,1014,Keerthi,FAIL,10,11,15,34,11,10,14,32,10,12,15,36
2,CSE,B,1015,Vinay,PASS,17,18,22,68,18,17,23,71,17,16,21,69
2,CSE,B,1016,Deepa,PASS,20,20,29,93,20,19,28,91,19,20,27,89
2,CSE,B,1017,Harsha,FAIL,0,0,9,18,10,0,11,21,9,8,10,19
2,CSE,B,1018,Sai,PASS,18,17,23,74,19,18,22,73,18,17,21,72
2,CSE,B,1019,Lakshmi,FAIL,12,10,14,36,13,12,15,38,11,10,13,34
2,CSE,B,1020,Ram,PASS,19,19,26,84,20,18,25,82,19,18,24,80
3,IT,A,1021,Priya,PASS,20,18,27,89,19,20,26,90,18,19,24,82
3,IT,A,1022,Aravind,FAIL,12,10,16,38,14,13,17,36,15,14,18,35
3,IT,A,1023,Kavya,PASS,18,19,23,74,17,18,22,72,19,20,25,80
3,IT,A,1024,Rohan,FAIL,0,0,12,29,10,11,13,31,9,8,12,27
3,IT,A,1025,Teja,PASS,19,18,24,77,18,19,23,75,17,18,22,73
3,IT,A,1026,Shruthi,PASS,20,20,29,92,19,20,27,91,20,20,28,89
3,IT,A,1027,Manoj,FAIL,0,5,10,21,0,8,12,24,7,6,11,20
3,IT,A,1028,Bindu,PASS,18,18,24,78,17,18,23,76,18,19,22,74
3,IT,A,1029,Karthik,FAIL,11,9,15,33,10,11,14,35,12,10,15,37
3,IT,A,1030,Divya,PASS,20,19,28,90,20,20,27,88,19,19,26,86
3,IT,B,1031,Ajay,PASS,17,18,22,69,18,17,21,71,17,18,22,70
3,IT,B,1032,Neha,FAIL,0,0,10,25,9,8,11,28,10,9,12,30
3,IT,B,1033,Vivek,PASS,19,20,25,82,18,19,24,80,20,20,25,84
3,IT,B,1034,Ritika,FAIL,10,12,16,37,11,10,15,34,10,11,14,36
